's	?:ин
arugula	?:ру́ккола
aruküla	?:Арукюла
arum	?:аро́нник
aruna	?:Аруна́
arunachala	?:Аруначала
arundhati	?:Арундхати́
arvaikheer	?:Арвайхэ́эр
arvanitika	?:арвани́тский
aryadeva	?:Арьяде́ва
aryaman	?:Арьяма́н
aryan	?:арийский
aryballos	?:ариба́лл
aryk	?:ары́к
arzamas	?:Арзама́с
arzew	?:Арзев
arête	?:гре́бень
as	?:как
asa	?:Аса
asad	?:А́сад
asana	?:а́сана
asap	?:как мо́жно быстре́е
asarabacca	?:копы́тень
asatryan	?:Асатря́н
asbest	?:Асбе́ст
asbestos	?:асбест
asbestosis	?:асбесто́з
ascanius	?:Аска́ний
ascariasis	?:аскаридоз
ascend	?:взбира́ться
ascendancy	?:власть
ascension	?:подъём
ascent	?:подъём
ascertain	?:установи́ть
ascesis	?:аске́за
ascetic	?:аскет
ascetically	?:аскети́чно
asceticism	?:аскетизм
asclepias	?:ва́точник
asclepius	?:Аскле́пий
ascogenous	?:аскогенный
ascomycete	?:аскомице́т
ascribe	?:припи́сывать
ascription	?:припи́сывание
ascus	?:сумка
asd	?:РАС
asean	?:АСЕА́Н
aseptic	?:асепти́ческий
asexual	?:асексуа́льный
asexuality	?:асексуа́льность
asgard	?:А́сгард
ash	?:пепел
ashamed	?:присты́женный
ashdod	?:Ашдо́д
ashen	?:я́сеневый
asherah	?:Аше́ра
ashgabat	?:Асхаба́д
ashkelon	?:Ашкело́н
ashkenazi	?:ашкена́зский
ashlar	?:белый камень
ashley	?:Э́шли
ashmiany	?:Ошмя́ны
ashoka	?:Ашо́ка
ashram	?:ашра́м
ashtarak	?:Аштара́к
ashtray	?:пепельница
ashugh	?:аши́к
asia	?:Азия
asian	?:азиатский
asianization	?:азиатиза́ция
asiarch	?:азиарх
aside	?:поо́даль
asigmatic	?:асигматический
asinine	?:глу́пый
asipovichy	?:Осипо́вичи
ask	?:спра́шивать
askance	?:подозрение
askant	?:косой
asleep	?:спать
asmara	?:Асма́ра
asmr	?:АСМР
asocial	?:асоциальный
asociality	?:асоциа́льность
asomtavruli	?:асомтаврули
asp	?:жерех
asparagus	?:спаржа
asparukh	?:Аспару́х
aspect	?:вид
aspectual	?:видово́й
aspen	?:осина
aspergillum	?:кропи́ло
asperity	?:жёсткость
aspersion	?:клевета́
aspet	?:аспет
asphalt	?:асфальт
asphodel	?:асфоде́ль
asphyxia	?:асфикси́я
asphyxiate	?:души́ть
aspic	?:заливно́е
aspidistra	?:аспиди́стра
aspirate	?:аспира́ция
aspirated	?:аспири́рованный
aspiration	?:амби́ция
aspirator	?:аспира́тор
aspire	?:стреми́ться
aspirin	?:аспирин
asplenia	?:асплени́я
asr	?:аср
ass	?:зад
ass-backwards	?:ра́ком
ass-kisser	?:жополи́з
ass-licker	?:жополи́з
assail	?:напа́сть
assailant	?:агре́ссор
assam	?:Асса́м
assamese	?:асса́мский
assassin	?:ассаси́н
assassinate	?:уби́ть
assassination	?:уби́йство
assault	?:штурм
assay	?:проба
assemble	?:монти́ровать
assembler	?:ассемблер
assembly	?:блок
assen	?:А́ссен
assent	?:одобре́ние
assert	?:отста́ивать
assertion	?:утвержде́ние
assertive	?:напо́ристый
assertiveness	?:уверенность в себе
assess	?:облага́ть
assessment	?:оце́нивание
asset	?:акти́в
assets	?:актив
assfuck	?:говню́к
asshole	?:гад
assibilation	?:ассибиля́ция
assiduous	?:приле́жный
assign	?:назна́чить
assignee	?:цессионе́р
assignment	?:назначе́ние
assimilate	?:усва́ивать
assimilation	?:ассимиляция
assisi	?:Асси́зи
assist	?:To help.
assistance	?:по́мощь
assistant	?:вспомога́тельный
assize	?:[[судебный|суде́бное]] [[разбира́тельство]]
associate	?:партнёр
association	?:ассоциация
associational	?:ассоциати́вный
associative	?:ассоциативный
assonance	?:ассона́нс
assort	?:сортировать
assortment	?:ассортиме́нт
assr	?:АССР
assuage	?:смягча́ть
assume	?:допуска́ть
assumption	?:Успение Богородицы
assur	?:А́ссур
assurance	?:завере́ние
assure	?:обеспе́чивать
assyria	?:Ассирия
assyrian	?:ассирийский
assyriological	?:ассириологи́ческий
astana	?:Астана
astarte	?:Аста́рта
astatine	?:аста́т
astaxanthin	?:астаксанти́н
aster	?:астра
asteraceous	?:а́стровый
asterisk	?:звёздочка
asterism	?:три звёздочки
asterix	?:Астерикс
asteroid	?:астероид
asteronym	?:астроним
astghik	?:Астхи́к
asthenia	?:астени́я
asthenosphere	?:астеносфе́ра
asthma	?:астма
asthmatic	?:астматик
astigmatism	?:астигматизм
astilbe	?:асти́льба
astonish	?:изуми́ть
astonished	?:удивлённый
astonishing	?:изуми́тельный
astonishment	?:изумле́ние
astound	?:изуми́ть
astounded	?:удивлённый
astraea	?:Астре́я
astraeus	?:Астре́й
astrakhan	?:Астрахань
astral	?:звёздный
astravyets	?:Острове́ц
astray	?:заблудиться
astride	?:на
astringent	?:вя́жущий
astro-	?:астро-
astrobiology	?:астробиоло́гия
astrobleme	?:астробле́ма
astrocentric	?:астроцентрический
astrochemist	?:астрохи́мик
astrocyte	?:астроци́т
astrocytoma	?:астроцито́ма
astrognosy	?:астрогнозия
astroid	?:астро́ида
astrolabe	?:астролябия
astrolatry	?:астролатрия
astrologer	?:астролог
astrological	?:астрологический
astrology	?:астрология
astronaut	?:астрона́вт
astronautics	?:астрона́втика
astronomer	?:астроном
astronomical	?:астрономический
astronomically	?:астрономически
astronomy	?:астрономия
astrophotography	?:а́строфотогра́фия
astrophysically	?:астрофизи́чески
astrophysicist	?:астрофизик
astrophysics	?:астрофизика
astroscope	?:астроско́п
astrotourism	?:астротури́зм
asturia	?:Асту́рия
asturian	?:астури́йский
asturias	?:Асту́рия
astute	?:проница́тельный
astuteness	?:проница́тельность
asunción	?:Асунсьо́н
asunder	?:врозь
asura	?:а́сура
aswan	?:Асуа́н
asylum	?:убе́жище
asymmetrical	?:несимметри́чный
asymmetry	?:асимметри́я
asymptomatic	?:бессимпто́мный
asymptote	?:асимпто́та
asymptotic	?:асимптоти́ческий
asynchronous	?:асинхро́нный
asynchronously	?:асинхро́нно
asynergia	?:асинергия
asystole	?:асистоли́я
asyut	?:Асью́т
at	?:на
ataman	?:атама́н
ataraxia	?:атара́ксия
atari	?:Ата́ри
atavism	?:атави́зм
atavistic	?:атависти́ческий
ataxia	?:атаксия
atayal	?:атая́л
ateji	?:атэ́дзи
atelier	?:ателье́
atemoya	?:атемойя
atgm	?:ПТУР
athamas	?:Атама́нт
athanasius	?:Афанасий
atheism	?:атеизм
atheist	?:неве́рующая
atheistic	?:атеисти́ческий
athematic	?:атемати́ческий
athena	?:Афина
athenian	?:афинский
athens	?:Афины
atheophobia	?:атеофо́бия
atheroma	?:атеро́ма
atherosclerosis	?:атеросклероз
atherosclerotic	?:атеросклероти́ческий
athlete	?:легкоатле́т
athletic	?:атлети́ческий
athletics	?:атле́тика
athwart	?:поперёк
atikamekw	?:атикаме́к
atikaya	?:Атикая
atilius	?:Ати́лий
ation	?:а́ция
atkinson	?:А́ткинсон
atlanta	?:Атланта
atlantic	?:атлантический
atlantis	?:Атлантида
atlas	?:атлас
atm	?:банкома́т
atmosphere	?:атмосфера
atmospheric	?:атмосфе́рный
atoll	?:атолл
atom	?:атом
atomgrad	?:атомгра́д
atomic	?:атомный
atomism	?:атоми́зм
atomizer	?:спрей
atomoxetine	?:атомоксети́н
atonal	?:атона́льный
atone	?:возмеща́ть
atonement	?:примире́ние
atony	?:атония
atop	?:наверху
atrium	?:атриум
atrocious	?:жесто́кий
atrocity	?:жесто́кость
atropatene	?:Атропате́на
atrophied	?:атрофи́рованный
atrophy	?:атрофия
atropine	?:атропин
attaboy	?:краса́вчик
attach	?:прикрепи́ть
attachment	?:приложе́ние
attaché	?:атташе
attack	?:штурм
attacker	?:напада́ющий
attagirl	?:молоде́ц
attain	?:доби́ться
attainable	?:достижи́мая
attainment	?:достиже́ние
attalia	?:Атта́лия
attar	?:аттар
attempt	?:попы́тка
attend	?:посети́ть
attendance	?:посеща́емость
attendant	?:свя́занный
attendee	?:уча́стник
attention	?:внимание
attentive	?:внимательный
attentively	?:внима́тельно
attentiveness	?:внима́тельность
attenuate	?:ослабля́ть
attenuation	?:ослабле́ние
attest	?:подтвержда́ть
attestation	?:засвиде́тельствование
attic	?:атти́ческий
attica	?:Аттика
atticism	?:аттики́зм
attire	?:облаче́ние
attitude	?:отношение
atto-	?:атто-
attometre	?:атто́метр
attorney	?:поверенный
attract	?:привле́чь
attraction	?:достопримечательность
attractive	?:притяга́тельный
attractiveness	?:привлека́тельность
attribute	?:атрибут
attributive	?:атрибути́вный
attrition	?:истира́ние
atypical	?:нетипи́чный
aubade	?:альборада
aubergine	?:баклажа́новый
auburn	?:кра́сно-кори́чневый
auce	?:Ауце
auckland	?:Окленд
auction	?:аукцион
